,id,classification
10,1624881489727918080,positive
11,1624881484073996294,positive
12,1624881482580852737,neutral
13,1624881479107878913,positive
14,1624881479024103429,neutral
15,1624881478055206912,positive
16,1624881476511711232,positive
17,1624881472736731144,positive
18,1624881471889473540,positive
19,1624881469616259074,positive
